ลำดับ,"วัน/เดือน/ปี 
ที่ติดต่อเข้ามา",ชื่อผู้สนใจ/ชื่อ Facebook,Line,Facebook,ปกติ,สมทบ,ทางไกล,ปริญญา,คณะ,สาขา,วุฒิที่ใช้สมัคร,ผ่อนตรง,กู้ กยศ,"เบอร์โทร
ให้ติดต่อกลับ","วัน/เดือน/ปี
ที่ให้โทร",ช่วงเวลาให้ติดต่อกลับ,หมายเหตุ,ชื่อแอดมินที่ดูแล,ติดตาม,ติดตาม,ติดตาม,ติดตาม,ติดตาม,ติดตาม,,,,
117,1/12/2025,Darson Nupe,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,ปุ้ย,,,,,,,,,,
118,1/12/2025,JOTOR,ü,,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวช.,,,,,,,ปุ้ย,,,,,,,,,,
119,1/12/2025,Tipfa Heldee,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ม.6,,,,,,,ปุ้ย,,,,,,,,,,
120,1/12/2025,Yaul Darqua,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
121,1/12/2025,Ratya Zenson,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
122,1/12/2025,Rattor Sirgun,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
123,1/12/2025,Kitfa Nusir,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
124,1/12/2025,กิ่งภู่ ใบ้ใบ้,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
125,1/12/2025,เดือนจันทร์ 'สุขนุช,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวช.,,,,,,,ปุ้ย,,,,,,,,,,
126,1/12/2025,Ixtip Jopon,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
127,1/12/2025,ใบ้ชื่น ดีเพ็ญ,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,กศน.เทียบเท่า ม.6,,,,,,,ปุ้ย,,,,,,,,,,
128,1/12/2025,Katip Heldar Peka,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
129,1/12/2025,Famel Melnu,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
130,1/12/2025,ทิพภัทร ภูมินิ่ม,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,,,,,,,ปุ้ย,,,,,,,,,,
131,1/12/2025,นิ่มสุข,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
132,1/12/2025,Sonmon Pewy,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
133,13/1/2025,Omra._12,ü,,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,,ü,0613802813,สมัครแล้ว,,เคยสมัครไว้ปีที่แล้ว,ต้นกล้า,13/1/2025 ยังไม่ตัดสินใจ,,,,,,,,,
134,13/1/2025,Bole Monpim,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ปวส.,,,0880091482,สมัครแล้ว,,ถามเรื่องค่าเทอมและการผ่อน,ต้นกล้า,นัดโทรอีกครั้งสัปดาห์หน้า,โทร. 16/1/2025 ขอให้ติดต่อใหม่ช่วงเย็น,,,,,,,,
135,13/1/2025,Wanmel Kitya,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,,,,,,,,ต้นกล้า,,,,,,,,,,
136,13/1/2025,วิไลกิ่ง เพ็ญนุช,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
137,13/1/2025,Kitra Wyvin,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
138,13/1/2025,Kitno Saix,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
139,13/1/2025,Fawan Vinri,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
140,13/1/2025,Kari Deechai,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวช.,,,,,,,ต้นกล้า,,,,,,,,,,
141,13/1/2025,Tadee Jochai,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
142,13/1/2025,Bora Zenver,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
143,13/1/2025,Torlu Wyra,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
144,13/1/2025,รุ่งธัญ พร้อมปั้น,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
145,13/1/2025,Yawy Lule,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,,,,,,,ต้นกล้า,,,,,,,,,,
146,13/1/2025,Torqua,ü,,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ปวส.,,,,,,มีประกันสังคม ถามเรื่องสิทธิ์,ต้นกล้า,,,,,,,,,,
147,13/1/2025,Luul Lepim,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
148,13/1/2025,Ratno Sirhel,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,ป. ตรี,,,,,,,ต้นกล้า,,,,,,,,,,
149,13/1/2025,Yasir Radee,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ม.6,,ü,,,,,ต้นกล้า,14/1/2025 ขอคิดดูก่อน,ขอดูค่าใช้จ่ายก่อน,,,,,,,,
150,13/1/2025,Torri Heltip,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
151,13/1/2025,Gundee Borat มณีปั้น ปั้นกิ่ง,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,ü,,0954698815,สมัครแล้ว,10.00,จบ ปวส. ถามเรื่องเทียบโอน,ต้นกล้า,15/1/2025 ขอปรึกษาครอบครัวก่อน,16/1/2025 ขอปรึกษาครอบครัวก่อน,24/1/2025 ขอดูค่าใช้จ่ายก่อน,ต้นโทร 26/3/2025 16.25 น. ไม่รับสาย,ต้้นโทร 27/3/2025 13.54 น. ขอดูค่าใช้จ่ายก่อน,,,,,
152,13/1/2025,Sonwy Raix,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
153,13/1/2025,Anfa Pelu,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,,,,,,,ต้นกล้า,,,,,,,,,,
154,13/1/2025,Darzen Pever,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
155,13/1/2025,Yawan,ü,,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,,ü,0910782777,สมัครแล้ว,,,ต้นกล้า,,,,,,,,,,
156,13/1/2025,Raka Wypon,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,ü,,,,,,ต้นกล้า,,,,,,,,,,
157,13/1/2025,"จันทร์มณี"" ยิ่งยิ่ง""ธัญเดือน",,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
158,13/1/2025,อัญณัฐ เพ็ญเพ็ญ,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
159,13/1/2025,Pimvin Kitsir,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
160,13/1/2025,ขวัญรุ่ง มณีอุ่น,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,,,,,,,ปุ้ย,,,,,,,,,,
161,13/1/2025,Ratnu Deeom,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
162,13/1/2025,Deedee Chaiul,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
163,14/1/2025,WANSON Deegun Nudee,,ü,,,ü,โท,รัฐศาสตร์,รัฐประศาสนศาสตร์,ป. ตรี,,,0851351713,ไม่ต้องโทร,11.00,ถามว่าต้องมาสอบที่มหาวิทยาลัยไหม,ต้นกล้า,17/1/2025 ขอปรึกษาครอบครัวก่อน,18/1/2025 ยังไม่ตัดสินใจ,20/1/2025 ไม่ได้รับสาย,ต้นโทร 26/3/2025 16.29 น. ขอปรึกษาครอบครัวก่อน,,,,,,
164,14/1/2025,Rita TIPNO. Kale,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
165,14/1/2025,พร้อมใบ้ จิตเพ็ญ,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,กศน.เทียบเท่า ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
166,14/1/2025,Luvin Melya,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
167,14/1/2025,Sonkit Dartip,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,กศน.เทียบเท่า ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
168,14/1/2025,วิไลภัทร พร้อมอัญ,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,ปวช.,,ü,0962716568,2-Oct-2025,,สอบถามเรื่องทุนการศึกษา,ต้นกล้า,31/1/2025 ขอคิดดูก่อน,31/1/2025 ยังไม่ตัดสินใจ,6/2/2025 ขอปรึกษาครอบครัวก่อน,ต้้นโทร 18/3/2025 13.10 น. ยังไม่ตัดสินใจ,,,,,,
169,14/1/2025,Chaibo Gungun,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
170,14/1/2025,Kitom Kitom,,ü,,,ü,ตรีี,บริหารธุรกิจ,การจัดการ,ปวส.,,,,,,,ต้นกล้า,,,,,,,,,,
171,14/1/2025,Faka Sonpon,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
172,14/1/2025,Tachai Ankit,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
173,14/1/2025,Lechai,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,ปวส.,ü,,,,,,ต้นกล้า,,,,,,,,,,
174,14/1/2025,Chaipim Vinya,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
175,14/1/2025,Versir Jole,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
176,14/1/2025,Lunu Monom,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
177,14/1/2025,Zenzen Pimwy,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวช.,,,,,,,ปุ้ย,,,,,,,,,,
178,14/1/2025,ภัทรพร้อม จิตภู่,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ปวช.,,,,,,,ปุ้ย,,,,,,,,,,
179,14/1/2025,Kitdar Nota,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวช.,,,0962939314,ไม่ต้องโทร,,ทำงานกะดึก โทรหลัง 18.00 น.,ปุ้ย,โทร ยังไม่ตัดสินใจ,,,,,,,,,
180,14/1/2025,Sondee Melom,,ü,ü,,,ตรี,ผู้ช่วยพยาบาล,ผู้ช่วยพยาบาล,,,,0866485333,3-Jan-2026,10.00-11.00,สนใจกู้ กยศ.,ปุ้ย,17/01/2025 ขอคิดดูก่อน,18/1/2025 ขอปรึกษาครอบครัวก่อน,24/1/2025 ขอปรึกษาครอบครัวก่อน,สนใจสมัคร ขอเวลาตัดสินใจ,,,,,,
181,14/1/2025,Nalu Sirle,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
182,14/1/2025,Pontor IXYA,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
183,14/1/2025,Ponson Sirlu,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
184,14/1/2025,ปั้นขวัญ ทิพมณี ปิ่นต้น,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
185,15/1/2025,Dardar Rirat,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
186,15/1/2025,Kitan-Lukit Torzen,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวช.,,,,,,,ต้นกล้า,,,,,,,,,,
187,15/1/2025,ยิ่งนุช ทิพณัฐ,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
188,15/1/2025,Quata Vinix,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,ü,0656635528,ไม่ต้องโทร,18.30,,ต้นกล้า,โทร นัดโทรอีกครั้งสัปดาห์หน้า,18/1/2025 ไม่ได้รับสาย,ปุ้ยโทร 15/03/2025 ปิดเครื่อง,พี่ต่ายโทร 18/03/2025 ไม่รับสาย,ปุ้ยโทร 26/03/2025 ไม่ได้รับสาย,ปุ้้ยโทร 27/03/2025 ไม่ได้รับสาย,ปุ้ยโทร 30/03/2025 ปิดเครื่อง,,,
189,15/1/2025,Helka ULNU,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
190,15/1/2025,Yator Tasa,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
191,15/1/2025,Torson Kitra Omsa,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
192,15/1/2025,Sirwan Wanan ,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,กศน.เทียบเท่า ม.6,ü,,0689109625,ไม่่สมัคร,10.00,แอดไลน์กลับมาเรียบร้อยแล้ว,ต้นกล้า,20/01/2025 ยังไม่ตัดสินใจ,ปุ้ยโทร 15/03/2025 ปิดเครื่อง,ปุ้ยโทร 16/03/2025 ขอดูค่าใช้จ่ายก่อน,ปุ้ยโทร 17/03/2025 ยังไม่ตัดสินใจ,ต้นโทร 18/3/2025 12.34 น. สนใจสมัคร รอเงินเดือนออก,,,,,
193,15/1/2025,Omfa Omtor,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
194,15/1/2025,พร้อมมณี อัญสิน,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
195,15/1/2025,Tormon Sonfa,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
196,15/1/2025,Torta Joson,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ม.6,,ü,,,,,ปุ้ย,,,,,,,,,,
197,15/1/2025,Kaqua Kaqua MELQUA,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวช.,,,,,,,ปุ้ย,,,,,,,,,,
198,15/1/2025,Vinson Melna,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,ปวส.,,,,,,,ปุ้ย,,,,,,,,,,
199,15/1/2025,Jonu OMTA.Omtip,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
200,15/1/2025,Tamel Karat,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
201,15/1/2025,กุลสิน.รักบุญ.มั่นปั้น นุชยิ่ง,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
202,15/1/2025,Tafa Sirra,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,ปวช.,ü,,0957160267,ไม่สมัคร,17.30,,ปุ้ย,19/01/2025 ขอปรึกษาครอบครัวก่อน,27/1/2025 ไม่รับสาย,ปุ้ยโทร 15/03/2025 ยังไม่ตัดสินใจ,ปุ้ยโทร 26/03/2025 ได้ที่เรียนแล้ว,,,,,,
203,16/1/2025,Fana,ü,,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
204,16/1/2025,Gunna'naver Zenna,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
205,16/1/2025,Ixrat Raya,,ü,,,,,,,,,,,,,อายุ 32 ทำงานแล้ว,ต้นกล้า,,,,,,,,,,
206,16/1/2025,Jomel VERAN,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,กศน.เทียบเท่า ม.6,,,0975088244,ไม่ต้องโทร,16.00,,ต้นกล้า,20/01/2025 ขอปรึกษาครอบครัวก่อน,ปุ้ยโทร 14/03/2025 ไม่รับสาย,ปุ้ยโทร 17/03/2025 ไม่รับสาย,พี่ต่ายโทร 18/03/2025 ปิดเครื่อง,ต้นโทร 26/3/2025 16.28 น. ไม่ได้รับสาย,ต้นโทร 27/3/2025 16.48 น. ไม่รับสาย,ปุ้ยโทร 30/03/2025 ปิดเครื่อง,,,
207,16/1/2025,Torsir Ansa,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,กศน.เทียบเท่า ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
208,16/1/2025,ภูมิภัทร ศิริสุข ปิ่นกัญ,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
209,16/1/2025,กิ่งภู่ ใบ้ใบ้,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
210,16/1/2025,LUGUN Ratfa,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,,,,,,,ต้นกล้า,,,,,,,,,,
211,16/1/2025,อัญศิริ พร้อมกัญ,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
212,16/1/2025,Taver Melver,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
213,16/1/2025,Anwan Yadar,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
214,16/1/2025,อัญณัฐ เพ็ญเพ็ญ,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
215,16/1/2025,Rale Ulri,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
216,16/1/2025,Wantor Nuul,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
217,16/1/2025,Nogun Lurat,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวช.,ü,,,,,,ต้นกล้า,,,,,,,,,,
218,16/1/2025,Sarat Zenlu,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
219,16/1/2025,Wanhel-helqua Verya,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
